Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionTests,Firefox 47.0,,2017-11-08 05:09:22,2017-11-08 05:11:38,2m - 15.592s,ERROR
,,,,,,
Test Cases/MakeAppointmentTest - Iteration 1,Firefox 47.0,This test case allows a user to book appointment.,2017-11-08 05:09:22,2017-11-08 05:10:09,46.766s,ERROR
openBrowser,Firefox 47.0,,2017-11-08 05:09:23,2017-11-08 05:09:35,11.861s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:09:35,2017-11-08 05:09:35,0.075s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on a_Make Appointment button,2017-11-08 05:09:35,2017-11-08 05:09:36,1.506s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:09:36,2017-11-08 05:09:36,0.016s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,Fill username,2017-11-08 05:09:36,2017-11-08 05:09:36,0.268s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,Fill password,2017-11-08 05:09:36,2017-11-08 05:09:37,0.227s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on Login button,2017-11-08 05:09:37,2017-11-08 05:09:37,0.862s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:09:37,2017-11-08 05:09:38,0.016s,PASSED
waitForElementVisible,Firefox 47.0,Wait for Facility select values to be visible in 10s,2017-11-08 05:09:38,2017-11-08 05:09:48,10.488s,PASSED
"Statement - flag = CustomKeywords.com.demo.utilities.CommonUtilities.checkDropDownListElementExist(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_CURA Healthcare Service (1)/select_facility), ""Hongkong CURA Healthcare Center"")",Firefox 47.0,,2017-11-08 05:09:48,2017-11-08 05:10:09,20.923s,ERROR
,,,,,,
Test Cases/MakeAppointmentTest - Iteration 2,Firefox 47.0,This test case allows a user to book appointment.,2017-11-08 05:10:09,2017-11-08 05:10:53,44.142s,ERROR
openBrowser,Firefox 47.0,,2017-11-08 05:10:09,2017-11-08 05:10:19,10.199s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:10:19,2017-11-08 05:10:19,0.054s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on a_Make Appointment button,2017-11-08 05:10:19,2017-11-08 05:10:20,1.076s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:10:20,2017-11-08 05:10:20,0.020s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,Fill username,2017-11-08 05:10:20,2017-11-08 05:10:21,0.392s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,Fill password,2017-11-08 05:10:21,2017-11-08 05:10:21,0.227s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on Login button,2017-11-08 05:10:21,2017-11-08 05:10:22,0.902s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:10:22,2017-11-08 05:10:22,0.009s,PASSED
waitForElementVisible,Firefox 47.0,Wait for Facility select values to be visible in 10s,2017-11-08 05:10:22,2017-11-08 05:10:32,10.396s,PASSED
"Statement - flag = CustomKeywords.com.demo.utilities.CommonUtilities.checkDropDownListElementExist(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_CURA Healthcare Service (1)/select_facility), ""Hongkong CURA Healthcare Center"")",Firefox 47.0,,2017-11-08 05:10:32,2017-11-08 05:10:53,20.850s,ERROR
,,,,,,
Test Cases/MakeAppointmentTest - Iteration 3,Firefox 47.0,This test case allows a user to book appointment.,2017-11-08 05:10:53,2017-11-08 05:11:37,44.050s,ERROR
openBrowser,Firefox 47.0,,2017-11-08 05:10:53,2017-11-08 05:11:03,10.108s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:11:03,2017-11-08 05:11:03,0.010s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on a_Make Appointment button,2017-11-08 05:11:03,2017-11-08 05:11:04,0.930s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:11:04,2017-11-08 05:11:04,0.014s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,Fill username,2017-11-08 05:11:04,2017-11-08 05:11:05,0.179s,PASSED
com.demo.utilities.CommonUtilities.setTextOnElement,Firefox 47.0,Fill password,2017-11-08 05:11:05,2017-11-08 05:11:05,0.473s,PASSED
com.demo.utilities.CommonUtilities.clickOnElement,Firefox 47.0,Click on Login button,2017-11-08 05:11:05,2017-11-08 05:11:06,0.901s,PASSED
waitForPageLoad,Firefox 47.0,,2017-11-08 05:11:06,2017-11-08 05:11:06,0.025s,PASSED
waitForElementVisible,Firefox 47.0,Wait for Facility select values to be visible in 10s,2017-11-08 05:11:06,2017-11-08 05:11:16,10.408s,PASSED
"Statement - flag = CustomKeywords.com.demo.utilities.CommonUtilities.checkDropDownListElementExist(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_CURA Healthcare Service (1)/select_facility), ""Hongkong CURA Healthcare Center"")",Firefox 47.0,,2017-11-08 05:11:16,2017-11-08 05:11:37,20.896s,ERROR
